sistema;codigo;reservatorio;res_latitude;res_longitude;municipio;codigo_municipio_ibge;estado_nome;estado_sigla;rio;sub_bacia;bacia
nordeste_semiarido;12356;PRATA;-8,53137900000000;-35,8342600000000;BONITO;2602308;Pernambuco;PE;RIO DA PRATA;UNA;UNA
nordeste_semiarido;12357;PRATA II;-7,69295000000000;-37,0886160000000;PRATA;2512200;Paraíba;PB;RIACHO DA PRATA;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12358;PRAZERES;-7,10883000000000;-38,6838150000000;BARRO;2302008;Ceará;CE;RIO DAS CUNCAS;SALGADO;SALGADO
nordeste_semiarido;12359;PREMUOCA;-3,31998200000000;-40,5545230000000;URUOCA;2313906;Ceará;CE;RIACHO SÃO FRANCISCO;COREAÚ;COREAÚ
nordeste_semiarido;12360;QUANDÚ;-3,57350600000000;-39,6290110000000;ITAPIPOCA;2306405;Ceará;CE;RIACHO QUANDÚ;LITORAL;LITORAL
nordeste_semiarido;12361;QUEIMADAS;-7,39201100000000;-37,9692960000000;SANTANA GARROTES;2513604;Paraíba;PB;RIACHO AROEIRA;PIANCÓ;PIANCÓ
nordeste_semiarido;12362;QUICÉ;-10,48866900000000;-40,0101970000000;S. DO BONFIM;2930105;Bahia;BA;RIO ITAPICURU MIRIM;ITAPICURU;ITAPICURU
nordeste_semiarido;12363;QUINCOÉ;-6,08486000000000;-39,4540350000000;ACOPIARA;2300309;Ceará;CE;RIO QUINQUÊ;ALTO JAGUARIBE;ALTO JAGUARIBE
nordeste_semiarido;12364;QUIXABINHA;-7,50175500000000;-38,7477370000000;MAURITI;2308104;Ceará;CE;RIACHO DOS BOIS;SALGADO;SALGADO
nordeste_semiarido;12365;QUIXERAMOBIM;-5,19846500000000;-39,3132280000000;QUIXERAMOBIM;2311405;Ceará;CE;RIO QUIXERAMOBIM;BANABUIÚ;BANABUIÚ
nordeste_semiarido;12366;RANCHARIA;-7,71379800000000;-40,5901890000000;ARARIPINA;2601102;Pernambuco;PE;RIACHO BOM JARDIM;BRÍGIDA;BRÍGIDA
nordeste_semiarido;12367;REALEJO;-5,26111500000000;-40,8062310000000;CRATEÚS;2304103;Ceará;CE;RIACHO CARRAPATEIRAS;ALTO JAGUARIBE;ALTO JAGUARIBE
nordeste_semiarido;12368;RETIRO;-9,67000200000000;-37,3142050000000;PALESTINA;2706208;Alagoas;AL;RIACHO VARZINHA;SÃO FRANCISCO;SÃO FRANCISCO
nordeste_semiarido;12369;RIACHÃO;-4,00057100000000;-38,5235110000000;ITAITINGA;2306256;Ceará;CE;RIO RIACHÃO;METROPOLITANA;METROPOLITANA
nordeste_semiarido;12370;RIACHO DA CRUZ II;-5,93731800000000;-37,9402900000000;RIACHO DA CRUZ;2410702;Rio Grande do Norte;RN;RIACHO DA CRUZ;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12371;RIACHO DA SERRA;-5,56405300000000;-38,3238640000000;ALTO SANTO;2300705;Ceará;CE;SEM RIO - RIACHO DA SERRA;MÉDIO JAGUARIBE;MÉDIO JAGUARIBE
nordeste_semiarido;12372;RIACHO DAS MOÇAS;-7,23848800000000;-37,3109820000000;TEIXEIRA;2516706;Paraíba;PB;RIACHO DAS MOÇAS;ESPINHARAS;ESPINHARAS
nordeste_semiarido;12373;RIACHO DO BODE;-9,37113000000000;-37,2225840000000;SANTANA DO IPANEMA;2708006;Alagoas;AL;RIACHO DO BODE;S.FCO./IPANEMA;S.FCO./IPANEMA
nordeste_semiarido;12374;RIACHO DO PAULO;-13,75864100000000;-41,8039000000000;LIVRAMENTO;2919504;Bahia;BA;RIACHO DO PAULO;RIO DE CONTAS;RIO DE CONTAS
nordeste_semiarido;12375;RIACHO DO SANGUE;-5,69353900000000;-38,9510370000000;SOLONÓPOLE;2313005;Ceará;CE;RIACHO DO SANGUE;MÉDIO JAGUARIBE;MÉDIO JAGUARIBE
nordeste_semiarido;12376;RIACHO DOS CAVALOS;-6,43165100000000;-37,6509440000000;RIACHO CAVALOS;2512804;Paraíba;PB;RIACHO GRANDE;MÉDIO PIRANHAS;MÉDIO PIRANHAS
nordeste_semiarido;12377;RIACHO SANTO ANTÔNIO;-7,70111300000000;-36,1623650000000;BOQUEIRÃO (R. STO. ANT.);2502508;Paraíba;PB;RIACHO DE SANTO ANTÔNIO;MÉDIO PARAÍBA;MÉDIO PARAÍBA
nordeste_semiarido;12378;RIBEIRÓPOLIS;-10,52233800000000;-37,4381200000000;RIBEIRÓPOLIS;2806008;Sergipe;SE;RIACHO COQUEIRO;SERGIPE;SERGIPE
nordeste_semiarido;12379;RIO DA PEDRA;-5,97577600000000;-36,7044400000000;SANTANA DO MATOS;2411403;Rio Grande do Norte;RN;RIO DA PEDRA;PIRANHAS/ASSU;PIRANHAS/ASSU
nordeste_semiarido;12380;RIVALDO DE CARVALHO;-6,27224600000000;-39,9334250000000;CATARINA;2303600;Ceará;CE;RIO RIVALDO DE CARVALHO;ALTO JAGUARIBE;ALTO JAGUARIBE
nordeste_semiarido;12381;RODEADOR;-6,05288800000000;-37,7788890000000;UMARIZAL;2414506;Rio Grande do Norte;RN;RIO UMARI;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12382;RÔMULO CAMPOS (JACURICI);-10,65427700000000;-39,7264210000000;ITIÚBA;2917003;Bahia;BA;RIO JACURICI;ITAPICURU;ITAPICURU
nordeste_semiarido;12383;ROSÁRIO;-7,77543800000000;-37,4722140000000;IGUARACI/INAGAZEIRA;NA;Pernambuco;PE;RIACHO ROSÁRIO;PAJEÚ;PAJEÚ
nordeste_semiarido;12384;ROSÁRIO;-6,88845000000000;-39,0806700000000;LAVRAS DA MANGABEIRA;2307502;Ceará;CE;RIACHO DO CEDRO;SALGADO;SALGADO
nordeste_semiarido;12385;SABONETE;-7,25949500000000;-37,2897300000000;TEIXEIRA;2516706;Paraíba;PB;SEM RIO - SABONETE;ESPINHARAS;ESPINHARAS
nordeste_semiarido;12386;SABUGI;-6,64616300000000;-37,1983480000000;SÃO JOÃO DO SABUGI;2412104;Rio Grande do Norte;RN;RIO SABUGI;PIRANHAS/ASSU;PIRANHAS/ASSU
nordeste_semiarido;12387;SACO;-7,51381200000000;-38,0463880000000;NOVA OLINDA;2510204;Paraíba;PB;RIACHO GRAVATÁ;CURU;CURU
nordeste_semiarido;12388;SACO II;-8,54386600000000;-40,1684470000000;STA. MARIA DA BOA VISTA;2612604;Pernambuco;PE;RIO DAS GARÇAS;GARÇAS;GARÇAS
nordeste_semiarido;12389;SALÃO;-4,40664900000000;-39,3117930000000;CANINDÉ;2302800;Ceará;CE;RIACHO SALÃO;CURU;CURU
nordeste_semiarido;12390;SALGUEIRO;-8,02960000000000;-39,0608600000000;SALGUEIRO;2612208;Pernambuco;PE;RIACHO PITOMBEIRA;TERRA NOVA;TERRA NOVA
nordeste_semiarido;12391;SALINAS;-6,99821400000000;-42,5171050000000;S. FCO. DO PIAUÍ;2209708;Piauí;PI;RIO SALINAS;CANINDÉ;CANINDÉ
nordeste_semiarido;12392;SANTA CRUZ DO APODI;-5,76490700000000;-37,7995410000000;APODI;2401008;Rio Grande do Norte;RN;RIO APODI;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12393;SANTA CRUZ DO TRAIRI;-6,22435000000000;-36,0301340000000;SANTA CRUZ;2411205;Rio Grande do Norte;RN;RIO TRAIRI;TRAIRI;TRAIRI
nordeste_semiarido;12394;SANTA HELENA;-12,56221900000000;-38,1601630000000;MATA DE SÃO JOÃO;2921005;Bahia;BA;SEM RIO - SANTA HELENA;JACUÍPE;JACUÍPE
nordeste_semiarido;12395;SANTA INÊS;-7,62960300000000;-38,5954890000000;SANTA INÊS;2513356;Paraíba;PB;RIACHO SANTA INÊS;PIANCÓ;PIANCÓ
nordeste_semiarido;12396;SANTA LUZIA;-6,87422200000000;-36,9247350000000;SANTA LUZIA;2513406;Paraíba;PB;SEM RIO - SANTA LUZIA;SERIDÓ;SERIDÓ
nordeste_semiarido;12397;SANTA MARIA;-5,96558500000000;-38,2765060000000;ERERÊ;2304277;Ceará;CE;RIACHO DO AMPARO;MÉDIO JAGUARIBE;MÉDIO JAGUARIBE
nordeste_semiarido;12398;SANTA MARIA DE ARACATIAÇU;-4,04237900000000;-39,9873220000000;SOBRAL;2312908;Ceará;CE;RIACHO BOM JESUS;LITORAL;LITORAL
nordeste_semiarido;12399;SANTA ROSA;-6,32049100000000;-37,5112880000000;BREJO DO CRUZ;2502805;Paraíba;PB;RIACHO ESCURO;MÉDIO PIRANHAS;MÉDIO PIRANHAS
nordeste_semiarido;12400;SANTO ANTÔNIO;-8,09926300000000;-36,9855390000000;SÃO SEB. UMBUZEIRO;2515203;Paraíba;PB;RIO DO UMBUZEIRO;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12401;SANTO ANTÔNIO;-5,89038300000000;-38,4117690000000;IRACEMA;2306009;Ceará;CE;RIACHO JATOBÁ;TAPEROÁ;TAPEROÁ
nordeste_semiarido;12402;SANTO ANTÔNIO DAS CARAÚBAS;-5,90613400000000;-37,5079910000000;CARAÚBAS;2402303;Rio Grande do Norte;RN;RIACHO SANTO ANTÔNIO;APODI/MOSSORÓ;APODI/MOSSORÓ
